,DEPT,GRGC,NPRL,DEN,FE,DDLLDS,DSLLDS,SPCGds,DTC,"Sample
No.",PERM,Comments,PhiDSS,PhieN,PhiAvgSS,VCLGR,VCLND,ResRatio,ResRatio2
6538,4069.0,42.522514,0.125922,2.350685,1.93843,161.693053,36.303099,-47.088539,70.163901,Core 1,183.83,,0.18140303030303032,0.16592200000000001,0.17366251515151515,0.12084492413793105,0.03472392739273916,1.1135288580882252,1.2226088347567998
6539,4069.5,40.846436,0.129862,2.339306,1.937395,167.740694,36.095486,-47.033534,70.927319,,,,0.18829939393939382,0.169862,0.17908069696969692,0.10928576551724135,0.028479372937293915,1.1505146992751096,1.2548904225536446
6540,4070.0,39.634506,0.131406,2.330853,1.937083,171.769242,36.063319,-46.910952,71.745025,Core 1,144.1,,0.19342242424242428,0.171406,0.18241421212121214,0.10092762758620691,0.020759900990098782,1.1741129066124871,1.2788052154614022
6541,4070.5,39.214015,0.132523,2.324388,1.935101,173.366356,36.080609,-46.723017,72.581713,,,,0.19734060606060608,0.172523,0.18493180303030304,0.09802768965517243,0.014713613861386024,1.182427660376988,1.291647052798975
6542,4071.0,39.236054,0.134493,2.321124,1.935668,174.16515,36.01096,-46.542654,73.389966,,,,0.19931878787878773,0.174493,0.18690589393939389,0.09817968275862071,0.014793316831683409,1.18557961182197,1.2952036394212971
6543,4071.5,39.028289,0.135484,2.327121,1.939427,174.267701,35.631283,-46.424799,73.956336,,,,0.19568424242424237,0.175484,0.1855841212121212,0.09674682068965518,0.024917821782178145,1.1931814336623747,1.288066267569513
6544,4072.0,38.596192,0.134156,2.337615,1.946316,174.524626,35.107529,-46.3608,74.227112,Core 1,38.09,,0.1893242424242424,0.174156,0.1817401212121212,0.09376684137931036,0.03581287128712872,1.2053913788181692,1.2824766357996356
6545,4072.5,38.584904,0.130147,2.352928,1.955928,176.152387,34.571464,-46.399876,74.116898,,,,0.18004363636363638,0.17014700000000002,0.1750953181818182,0.09368899310344829,0.04709711221122102,1.2178626033317241,1.2804708127937616
6546,4073.0,39.226385,0.125468,2.368655,1.96265,178.646691,34.148375,-46.542516,73.793819,Core 1,54.75,,0.1705121212121212,0.165468,0.1679900606060606,0.098113,0.05743531353135309,1.2248512634432225,1.280095563078398
6547,4073.5,40.196997,0.120758,2.379649,1.960415,180.624359,33.891064,-46.700714,73.344383,,,,0.16384909090909078,0.160758,0.1623035454545454,0.104806875862069,0.06145627062706288,1.2246638020624059,1.2839693480918557
