DEPTH,CALI,CPERM,CPOR,Density,Facies,GR,Neutron,PEF,Perm,PHIE,RESD,RESM,RESS,Sonic,SP,SW,VShale,Lithology
783,9.96,,,2.4,,126.07,0.39,3.08,,,4.59,3.84,1.89,112.94,401.37,,,
783.5,9.96,,,2.5,,119.36,0.41,3.06,,,6.07,4.86,3.85,99.91,403.22,,,
784,9.98,,,2.54,,105.03,0.35,3.07,,,8.71,6.93,11.66,89.68,406.23,,,
784.5,9.88,,,2.51,,94.51,0.29,3.1,,,11.22,9.1,7.28,86.06,409.56,,,
785,9.88,,,2.46,,89.25,0.29,3.12,,,12.04,10.01,3.75,88.21,411.8,,,
785.5,9.9,,,2.42,,84.34,0.34,3.1,,,11.15,9.51,2.72,92.76,412.65,,,
786,9.9,,,2.4,,80.54,0.37,3.14,,,10.02,8.69,2.88,97.16,413.49,,,
786.5,9.84,,,2.4,,81.93,0.4,3.21,,,9.42,8.28,3.39,100.63,414.64,,,
787,9.71,,,2.4,,86.35,0.35,3.27,,,9.11,8.15,3.46,103.31,414.87,,,
787.5,9.62,,,2.41,,88.57,0.34,3.32,,,8.65,7.89,3.38,105.47,414.23,,,
788,9.62,,,2.41,,89.17,0.37,3.45,,,7.99,7.39,3.43,107.4,413.89,,,
788.5,9.63,,,2.43,,91.8,0.35,3.56,,,7.19,6.73,3.48,109.63,413.92,,,
789,9.65,,,2.47,,97.05,0.33,3.68,,,6.2,5.88,3.55,112.76,414.15,,,
789.5,9.58,,,2.48,,105,0.34,3.22,,,5.17,4.94,2.47,116.77,414.42,,,
790,9.66,,,2.46,,113.69,0.36,2.94,,,4.44,4.24,2.04,120.73,413.96,,,
790.5,9.67,,,2.42,,118.59,0.37,2.87,,,4.12,3.92,2.68,123.62,412.66,,,
791,9.65,,,2.39,,119.96,0.37,2.97,,,4.14,3.94,3.33,125.04,411.77,,,
791.5,9.68,,,2.38,,121.84,0.37,3.17,,,4.34,4.09,3.3,125.26,411.4,,,
792,9.7,,,2.39,,123.89,0.37,3.13,,,4.57,4.29,3.27,124.94,410.74,,,
792.5,9.71,,,2.38,,124.17,0.37,3.09,,,4.73,4.56,3.36,124.58,409.8,,,
793,9.71,,,2.39,,124.08,0.4,3.11,,,4.83,4.86,3.47,124.24,409.25,,,
793.5,9.72,,,2.37,,125.34,0.41,3.17,,,4.9,5.08,3.42,123.96,409.09,,,
794,9.73,,,2.36,,126.23,0.37,3.23,,,4.94,5.2,3.38,123.83,409.02,,,
794.5,9.74,,,2.36,,125.45,0.4,3.32,,,4.93,5.25,3.41,123.95,409,,,
795,9.75,,,2.36,,125.01,0.47,3.58,,,4.89,5.24,3.41,124.46,409.22,,,
795.5,9.75,,,2.37,,126.33,0.4,3.25,,,4.81,5.18,3.22,124.9,409.65,,,
796,9.76,,,2.37,,127.79,0.38,3.37,,,4.71,5.07,3.21,123.8,410.3,,,
796.5,9.77,,,2.4,,128.99,0.39,3.75,,,4.58,4.88,3.03,119.22,411.07,,,
797,9.76,,,2.48,,130.96,0.37,4.27,,,4.6,4.77,2.74,110.03,412.18,,,
797.5,9.74,,,2.65,,131.32,0.38,4.67,,,5.15,5.11,3.25,97.07,414.18,,,
798,9.73,,,2.71,,126.26,0.34,3.69,,,7.01,6.56,7.18,83.02,416.48,,,
798.5,9.56,,,2.68,,115.9,0.24,3.41,,,13.22,11.78,17.7,70.77,418.08,,,
799,9.4,,,2.67,,105.19,0.19,3.47,,,30.12,26.68,21.73,61.86,419.19,,,
799.5,9.27,,,2.7,,99.33,0.17,3.79,,,65.99,59.39,53.44,56.67,420.53,,,
800,9.11,,,2.69,,100.82,0.16,3.89,,,109.62,103.44,84.84,55.42,421.76,,,
800.5,8.91,,,2.73,,110.57,0.14,3.88,,,116.21,115.94,431.11,58.32,422.16,,,
801,8.84,,,2.81,,125.32,0.13,4.27,,,74.88,78.62,52.32,65,421.81,,,
801.5,8.81,,,2.79,,134.75,0.13,3.71,,,29.41,31.66,9.73,73.83,421.19,,,
802,8.9,,,2.66,,132.77,0.16,2.94,,,12.79,12.46,7.06,82.31,420.56,,,
802.5,9.12,,,2.55,,125.58,0.2,2.95,,,11.37,10.5,7.92,88.6,419.61,,,
803,9.2,,,2.53,,120.96,0.26,2.96,,,12.31,11.2,8.35,92.53,418.1,,,
803.5,9.22,,,2.52,,119.16,0.24,3.02,,,13.26,12.1,7.38,95.01,416.31,,,
804,9.29,,,2.5,,117.85,0.27,3.21,,,13.25,12.13,6.39,96.94,415.39,,,
804.5,9.33,,,2.48,,114.26,0.28,3.22,,,12.73,11.7,6.51,98.54,415.38,,,
805,9.33,,,2.45,,108.65,0.29,3.22,,,12.5,11.54,13.35,99.43,415.72,,,
805.5,9.29,,,2.45,,105.73,0.26,3.19,,,12.43,11.45,16.81,99.21,416.07,,,
806,9.26,,,2.45,,107.08,0.24,3.1,,,12.32,11.29,6.53,98.15,415.73,,,
806.5,9.36,,,2.45,,108.81,0.27,3,,,12.08,11.04,5.72,97.05,414.66,,,
807,9.39,,,2.45,,110.43,0.27,2.8,,,11.86,10.73,6.95,96.63,414.07,,,
807.5,9.46,,,2.46,,113.57,0.27,2.73,,,11.75,10.52,6.47,97.16,413.89,,,
808,9.49,,,2.45,,116.47,0.26,2.66,,,11.57,10.33,6.06,98.37,412.94,,,
808.5,9.54,,,2.44,,117.48,0.27,2.83,,,11.31,10.09,6.42,99.73,412.04,,,
809,9.58,,,2.44,,117.97,0.26,3.09,,,10.92,9.75,6.49,100.96,411.91,,,
809.5,9.61,,,2.45,,119.11,0.3,3.04,,,10.58,9.4,6.6,102.07,411.51,,,
810,9.62,,,2.44,,120.62,0.33,3.02,,,10.18,9.03,6.37,103.13,410.25,,,
810.5,9.64,,,2.44,,121.32,0.34,2.96,,,9.84,8.69,5.98,104.21,408.65,,,
811,9.63,,,2.45,,120.92,0.29,2.89,,,9.62,8.44,5.89,105.26,406.94,,,
811.5,9.62,,,2.45,,121.38,0.29,2.8,,,9.43,8.25,5.87,106.06,405.2,,,
